,Price,Close,High,Low,Open,Volume,MA_5,MA_20,MA_60,RSI,Volatility,Volume_MA,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,Stoch_K,Stoch_D,Williams_R,Price_Change,Price_Change_5,Price_Change_20,Volume_Change,HL_Spread,CO_Spread
MACD,0.49176339752013926,0.49176339752013926,0.4951739954151631,0.4897662468715361,0.4928776687325628,0.017041333585588143,0.48541932514329617,0.42820154628702667,0.3516544392810359,0.681332168434422,0.5850799992845865,0.05700925964102344,1.0,0.9499404443968549,0.3535595301814834,0.45712315365177303,0.42820154628702667,0.3948018854755002,0.40844828981062004,0.5672195420333832,0.4601448292881293,0.5574471983719429,0.4601448292881293,0.05255374827810394,0.3156980525079751,0.8402215234490468,-0.04684721452388568,0.1982560148421871,-0.0016170165973669998
MACD_Signal,0.5146210275642926,0.5146210275642926,0.5188793967998169,0.5134904945537934,0.5177237374067449,0.012584538255533451,0.5158641660652264,0.4762403541328419,0.38688702409296644,0.4833671299631149,0.5670227186094537,0.05657803376823876,0.9499404443968549,1.0,0.04360874904740247,0.50193290233317,0.4762403541328419,0.4460651199446956,0.3637698926659377,0.3560033082298036,0.24338829942222331,0.32801507102076205,0.24338829942222334,0.00010748581170916952,0.11074929502054903,0.7152825964290757,-0.04682446205577821,0.2006091256529788,-0.0479244268644928
MACD_Histogram,0.03172821167908354,0.03172821167908354,0.029884680201188604,0.028726792325719768,0.026001825037335443,0.016814569930292126,0.007720085028246782,-0.05661013278067543,-0.03385985509216173,0.7314784866308213,0.17323354029114243,0.012902856220717724,0.3535595301814834,0.04360874904740247,1.0,-0.041051578378866645,-0.05661013278067544,-0.07306691750344647,0.21695986358015706,0.7479095721910073,0.7426878838020707,0.8004571257394634,0.7426878838020706,0.16772728584826593,0.6779144126238218,0.5452027701688575,-0.009619240717250841,0.03333606858059969,0.138314066090564
BB_Upper,0.9949799927330423,0.9949799927330423,0.9953863410313675,0.9950979919336231,0.9955034198158796,0.02504010275307849,0.9968765997324951,0.9976463377296373,0.9891324940092185,0.144021364885229,0.5224105930591333,0.038608313955574944,0.45712315365177303,0.50193290233317,-0.041051578378866645,1.0,0.9976463377296372,0.9898594417691687,0.10244538457865414,0.13158911697047848,0.08322645810016109,0.09347137666310548,0.08322645810016124,0.036961093271379086,0.08184852401653334,0.20622275190601203,-0.029093155452544844,0.1200979857487234,0.020812058984602526
BB_Middle,0.9948016197284105,0.9948016197284105,0.9948168983227089,0.99517984888214,0.9952454511047709,0.021061164886517745,0.9969170334560401,1.0,0.9940467488996534,0.12785243388499837,0.4627121563611978,0.03497444964255183,0.42820154628702667,0.4762403541328419,-0.05661013278067544,0.9976463377296372,1.0,0.997269973253711,0.03600891976662252,0.12290725118610668,0.07522658665628146,0.08312149299190667,0.07522658665628158,0.035854735738914026,0.07301096539860018,0.18122308535715165,-0.02895954928030604,0.10292399396102407,0.022066230481401793
BB_Lower,0.9893722427365106,0.9893722427365106,0.9889663026952117,0.9900287191091068,0.9897280218465,0.016665415373383317,0.9917121498359145,0.997269973253711,0.9941055349696962,0.10976720990440066,0.39598761653604103,0.03087705696295839,0.3948018854755002,0.4460651199446956,-0.07306691750344647,0.9898594417691687,0.997269973253711,1.0,-0.035725274264215345,0.11291079119630926,0.06621558040422758,0.07153822323377314,0.06621558040422769,0.03447454990903046,0.06310952852200394,0.15334717169567028,-0.028660811258849495,0.0838876719500638,0.02330066135008069
BB_Width,0.0699839427224264,0.0699839427224264,0.07511978877966134,0.06650479421438438,0.07079152521735085,0.05652601280602927,0.06700389806815689,0.03600891976662252,0.0028971405872049646,0.2402022832385066,0.8766881164600522,0.048148082974556465,0.40844828981062004,0.3637698926659377,0.21695986358015706,0.10244538457865414,0.03600891976662252,-0.035725274264215345,1.0,0.13150880109630342,0.12248663898502023,0.15420343725668664,0.12248663898502019,0.0210591986996413,0.13920531597798122,0.3688950303653202,-0.003984265904705479,0.253196039558626,-0.00897445433854282
BB_Position,0.21144086883165333,0.21144086883165333,0.20512968307607263,0.20559500811464151,0.19796881027404636,-0.022664516141639682,0.17859956796591542,0.12290725118610668,0.10502509699702348,0.8447364961819595,0.17285508102535993,-0.051199101585463154,0.5672195420333832,0.3560033082298036,0.7479095721910073,0.13158911697047848,0.12290725118610668,0.11291079119630926,0.13150880109630342,1.0,0.9191137545070478,0.878844651235286,0.9191137545070478,0.43706777334152397,0.7575460340867296,0.6988629667865985,-0.03845522609799582,0.005330722537948262,0.35591004653696345
Stoch_K,0.15903384938147558,0.15903384938147558,0.1514288915669766,0.152579291554012,0.14450918325660095,-0.030903963868447886,0.1260449023530822,0.07522658665628146,0.06640034741415714,0.80087194191128,0.14052452270893345,-0.03489663141733386,0.4601448292881293,0.24338829942222331,0.7426878838020707,0.08322645810016109,0.07522658665628146,0.06621558040422758,0.12248663898502023,0.9191137545070478,1.0,0.9132553784509627,1.0000000000000002,0.4485985406759365,0.7444726596690197,0.5919040073048486,-0.05014424823612224,-0.013392827541251692,0.3799552192510454
Stoch_D,0.1664766586170074,0.1664766586170074,0.16456319257744828,0.1643928770756143,0.1623518947099085,-0.016375639647674682,0.1442596997895693,0.08312149299190667,0.06967780771917668,0.8500677009181347,0.17480020331673854,-0.03485656508136337,0.5574471983719429,0.32801507102076205,0.8004571257394634,0.09347137666310548,0.08312149299190667,0.07153822323377314,0.15420343725668664,0.878844651235286,0.9132553784509627,1.0,0.9132553784509627,0.1519746193001518,0.6719733081283944,0.6407175032130851,-0.05393670670795009,0.029782162747509566,0.11553248035059334
Williams_R,0.15903384938147563,0.15903384938147563,0.1514288915669767,0.15257929155401212,0.1445091832566009,-0.030903963868447893,0.1260449023530823,0.07522658665628158,0.06640034741415715,0.80087194191128,0.14052452270893348,-0.034896631417333866,0.4601448292881293,0.24338829942222334,0.7426878838020706,0.08322645810016124,0.07522658665628158,0.06621558040422769,0.12248663898502019,0.9191137545070478,1.0000000000000002,0.9132553784509627,1.0,0.4485985406759365,0.7444726596690197,0.5919040073048486,-0.05014424823612224,-0.013392827541251744,0.37995521925104536
Price_Change,0.07459975761558615,0.07459975761558615,0.057158462392213456,0.060089180595772,0.04004972617092391,-0.005588394320916611,0.03888525800953461,0.035854735738914026,0.03689260993963566,0.2568382689681133,0.0319851222989956,0.005686985460349346,0.05255374827810394,0.00010748581170916952,0.16772728584826593,0.036961093271379086,0.035854735738914026,0.03447454990903046,0.0210591986996413,0.43706777334152397,0.4485985406759365,0.1519746193001518,0.4485985406759365,1.0,0.4247934172698713,0.19797057553177158,-0.009679486944092158,-0.08654523552186603,0.8696877509135778
Price_Change_5,0.14912812124614086,0.14912812124614086,0.14331979874956924,0.14323891152819965,0.13572269699854636,-0.02168743085758044,0.11056336640807334,0.07301096539860018,0.06967458832243963,0.5596945787742714,0.1502620315572282,-0.01508822035399509,0.3156980525079751,0.11074929502054903,0.6779144126238218,0.08184852401653334,0.07301096539860018,0.06310952852200394,0.13920531597798122,0.7575460340867296,0.7444726596690197,0.6719733081283944,0.7444726596690197,0.4247934172698713,1.0,0.4545851182690827,-0.0034832398744921987,0.016541769056314,0.34478632747569526
Price_Change_20,0.2593698556920929,0.2593698556920929,0.25900670969816114,0.2554812299597777,0.2547233853921304,0.01692040573785962,0.24294297701202314,0.18122308535715165,0.13003984735075996,0.7603548978873547,0.41257940433326457,0.043591943810294805,0.8402215234490468,0.7152825964290757,0.5452027701688575,0.20622275190601203,0.18122308535715165,0.15334717169567028,0.3688950303653202,0.6988629667865985,0.5919040073048486,0.6407175032130851,0.5919040073048486,0.19797057553177158,0.4545851182690827,1.0,-0.028298993268477336,0.12347571421722076,0.12985002018263775
Volume_Change,-0.03171597214118113,-0.03171597214118113,-0.03258823240647787,-0.030784762857628687,-0.03165126960547367,0.38914027557693076,-0.030907076660986098,-0.02895954928030604,-0.025555731534618688,-0.04229997237899297,-0.016011915069146943,0.05142498351291282,-0.04684721452388568,-0.04682446205577821,-0.009619240717250841,-0.029093155452544844,-0.02895954928030604,-0.028660811258849495,-0.003984265904705479,-0.03845522609799582,-0.05014424823612224,-0.05393670670795009,-0.05014424823612224,-0.009679486944092158,-0.0034832398744921987,-0.028298993268477336,1.0,-0.0672871940482009,-0.0031263102934617113
HL_Spread,0.11025405022075896,0.11025405022075896,0.12950829920573825,0.09644784593489304,0.11565118555582632,-0.11675298449317206,0.11274847116011395,0.10292399396102407,0.08525888924310725,0.029254626513865446,0.2727918209456652,0.22822315925283038,0.1982560148421871,0.2006091256529788,0.03333606858059969,0.1200979857487234,0.10292399396102407,0.0838876719500638,0.253196039558626,0.005330722537948262,-0.013392827541251692,0.029782162747509566,-0.013392827541251744,-0.08654523552186603,0.016541769056314,0.12347571421722076,-0.0672871940482009,1.0,-0.1275761118382271
CO_Spread,0.05287249290382811,0.05287249290382811,0.03244770410699019,0.0364618007436708,0.013358264476274874,0.022452084365648554,0.022459515769030932,0.022066230481401793,0.028317367188223645,0.2004240485304178,-0.005332905360954091,-0.008779748405041511,-0.0016170165973669998,-0.0479244268644928,0.138314066090564,0.020812058984602526,0.022066230481401793,0.02330066135008069,-0.00897445433854282,0.35591004653696345,0.3799552192510454,0.11553248035059334,0.37995521925104536,0.8696877509135778,0.34478632747569526,0.12985002018263775,-0.0031263102934617113,-0.1275761118382271,1.0
